Title,Authors,Contributors,ISBN,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Sorrowland,Rivers Solomon,"",9781529118742,paperback,to-read,2021/05/20,"","",0,"",,,,,,,,,"",,"physical-copy, priority",Yes
The Wise Man's Fear,Patrick Rothfuss,"",9780756404734,hardcover,read,,2016/05/04,2016/05/04,1,"",,,,,,,5.0,,"",,"",No
Doctor Who: Borrowed Time,Naomi Alderman,"",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
The Hundred Thousand Kingdoms,N.K. Jemisin,"",9781611291384,hardcover,read,2018/08/07,2018/09/22,2018/09/22,1,"",,,,,,,3.0,"Woah I flew through this, I really got caught up in the story. I really like the world and though I found the main character a little annoying sometimes I got attached and was rooting for her pretty quickly. I loved all the gods and the story behind them. Unfortunately there's a fair amount of info-dumping and quite a few questionable descriptions but I stayed up reading it till 1am so I definitely enjoyed it! Looking forward to reading the next one.","",,"",No
Blackfish City,Sam J. Miller,"",9780062684875,paperback,read,,2019/05/06,2019/05/06,1,"",,,,,,,4.0,"A strange city in a bleak post apocalyptic future, a terrifying untreatable disease that gives you visions until it kills you, rumours of ancient nanotech that can let you bond with animals and a fascinating, diverse group of people trying to make their way.<br>Warning, the beginning to this is SLOW, there is a lot of set up and I almost gave up but I'm really glad that I didn't as the pay off was definitely worth it.","",,"",Yes
Ship of Magic,Robin Hobb,"","",,read,2013/01/18,"","",1,"",,,,,,,5.0,,"",,"",No
Wonder Woman: Warbringer,Leigh Bardugo,"","",,read,2017/09/01,2017/09/05,2017/09/05,1,"",,,,,,,4.0,,"",,"",No
Reaper Man,Terry Pratchett,"",9780552152952,paperback,read,2015/09/15,2015/12/29,2015/12/29,1,"",,,,,,,3.0,,"",,"",No
The Mad Ship,Robin Hobb,"","",paperback,read,2013/01/18,"","",1,"",,,,,,,5.0,,"",,"",No
Emperor Mage,Tamora Pierce,"",9781416903376,paperback,read,2020/04/04,2020/04/04,2020/04/04,1,"",,,,,,,4.0,,"",,"",Yes
The Witness for the Dead,Katherine Addison,"",9780765387448,digital,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
The Boy on the Bridge,M.R. Carey,"","",,to-read,2018/12/28,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Bacchanal,Veronica Henry,"",9781542027816,hardcover,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,,2015/09/14,2015/09/14,1,"",,,,,,,4.0,,"",,"",No
Harry Potter and the Goblet of Fire,J.K. Rowling,Mary GrandPré (Illustrator),9780439139601,paperback,read,,"","",1,"",,,,,,,3.0,,"",,"",No
The Descent of Monsters,Neon Yang,"",9781250165855,paperback,read,2018/08/31,2018/08/31,2018/08/31,1,"",,,,,,,3.0,I enjoyed this but not as much as the previous two books. Some of that might be due to the fact that I don't like letters as a format in books. It was great seeing old characters again and I did like how the mystery slowly filled in piece by piece. I do kinda wish that this has been told from the point of view of Rider though. The excerpt from their point of view was my favourite bit. It's done some great set up for a future book so I look forward to reading more.,"",,"",Yes
Tone of Voice,Kaia Sønderby,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
The Witch King,H.E. Edgmon,"",9781335212795,hardcover,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"",No
The Ruby in the Smoke,Philip Pullman,"",9780394895895,paperback,read,2015/06/05,"","",1,"",,,,,,,3.0,,"",,"",No
